;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
2859;121;29;39.8308020875,-92.5646083146;Macon;Missouri
2860;59;46;44.5477641459,-99.0049301861;Hand;South Dakota
2861;133;21;37.1211921397,-82.8552822542;Letcher;Kentucky
2862;79;38;48.7724599221,-99.8409490369;Rolette;North Dakota
2863;73;21;38.2391477444,-84.8770681668;Franklin;Kentucky
2864;13;54;38.8444981835,-81.11757183;Calhoun;West Virginia
2865;17;5;33.2672553197,-91.2939728213;Chicot;Arkansas
2866;157;13;34.1338827438,-83.5663480377;Jackson;Georgia
2867;51;8;38.6667977063,-107.031700114;Gunnison;Colorado
2868;169;31;40.1762856299,-97.5949196014;Thayer;Nebraska
2869;155;20;37.9529528516,-98.0860066564;Reno;Kansas
2870;650;51;37.0487694369,-76.2954030037;Hampton;Virginia
2871;31;39;40.3016413767,-81.9200107367;Coshocton;Ohio
2872;105;2;58.2091446546,-135.559082719;Hoonah-Angoon;Alaska
2873;30;60;-14.5416136197,-168.16344943;Rose Island;American Samoa
2874;19;50;44.8288090199,-72.2438064213;Orleans;Vermont
2875;233;21;37.5184174771,-87.6831570963;Webster;Kentucky
2876;73;20;37.8777875638,-96.2326356698;Greenwood;Kansas
2877;169;18;40.8456930058,-85.7940056739;Wabash;Indiana
2878;5;49;41.7224295706,-111.743622083;Cache;Utah
2879;93;55;44.7194015031,-92.4225034913;Pierce;Wisconsin
2880;233;13;34.0017844854,-85.1881533822;Polk;Georgia
2881;101;29;38.7440854857,-93.8063674936;Johnson;Missouri
2882;510;24;39.3009797143,-76.610646905;Baltimore;Maryland
2883;245;48;29.8537289242,-94.1534394591;Jefferson;Texas
2884;125;29;38.1616348912,-91.9248859666;Maries;Missouri
2885;77;31;41.5674402954,-98.5212445201;Greeley;Nebraska
2886;57;18;40.072489475,-86.0520142517;Hamilton;Indiana
2887;87;28;33.4729092689,-88.4433134871;Lowndes;Mississippi
2888;57;17;40.4727799619,-90.2074818825;Fulton;Illinois
2889;15;38;46.977452062,-100.468737737;Burleigh;North Dakota
2890;155;39;41.3171740913,-80.7611602655;Trumbull;Ohio
2891;113;8;38.0037403985,-108.405922131;San Miguel;Colorado
2892;51;54;39.8606128566,-80.6633865366;Marshall;West Virginia
2893;143;48;32.23625867,-98.2179667085;Erath;Texas
2894;47;41;44.9033239855,-122.584898334;Marion;Oregon
2895;7;48;28.0847204066,-96.991438734;Aransas;Texas
2896;55;40;34.935737081,-99.5607827211;Greer;Oklahoma
2897;57;54;39.4147218971,-78.9437462563;Mineral;West Virginia
2898;189;17;38.3521828118,-89.4104744564;Washington;Illinois
2899;127;5;34.8607684689,-94.0632792993;Scott;Arkansas
2900;99;20;37.1913273481,-95.297576142;Labette;Kansas
2901;87;47;36.3592115189,-85.6731507891;Jackson;Tennessee
2902;69;12;28.7614688332,-81.7113031676;Lake;Florida
2903;127;18;41.5088382943,-87.0733191356;Porter;Indiana
